"","Estacao","Data","value"
"531","RD033",2020 fev,196
"532","RD033",2020 mar,447
"533","RD033",2020 mai,54.7
"534","RD033",2020 jun,43
"535","RD033",2020 jul,22.5
"536","RD033",2020 ago,21.6
"537","RD033",2020 set,12.5
"538","RD033",2020 out,32.4
"539","RD033",2020 nov,67
"540","RD033",2020 dez,184
"541","RD033",2021 jan,51
"542","RD033",2021 fev,432
"543","RD033",2021 mar,144
"544","RD033",2021 abr,49.8
"545","RD033",2021 mai,27.4
"546","RD033",2021 jun,6.58
"547","RD033",2021 jul,13
"548","RD033",2021 ago,11.6
"549","RD033",2021 set,27.1
"550","RD033",2021 out,181
"551","RD033",2021 nov,1411
"552","RD033",2021 dez,249
"553","RD033",2022 jan,209
"554","RD033",2022 fev,451
"555","RD033",2022 mar,114
"556","RD033",2022 abr,71.9
"557","RD033",2022 mai,72
"558","RD033",2022 jun,30.6
"559","RD035",1997 ago,3
"560","RD035",1997 out,35
"561","RD035",2000 fev,141
"562","RD035",2000 mai,50.5
"563","RD035",2000 ago,21.1
"564","RD035",2000 out,21.6
"565","RD035",2001 fev,54.6
"566","RD035",2001 mai,30.8
"567","RD035",2001 ago,15.9
"568","RD035",2001 out,150
"569","RD035",2002 fev,320
"570","RD035",2002 abr,51.8
"571","RD035",2002 ago,21.2
"572","RD035",2002 out,97.2
"573","RD035",2003 fev,84.6
"574","RD035",2003 mai,25.6
"575","RD035",2003 jul,20.7
"576","RD035",2003 out,15.8
"577","RD035",2004 jan,157
"578","RD035",2004 abr,98.7
"579","RD035",2004 jul,41.4
"580","RD035",2004 out,25.6
"581","RD035",2005 jan,359
"582","RD035",2005 abr,278
"583","RD035",2005 jul,22.9
"584","RD035",2005 out,48
"585","RD035",2006 jan,35.5
"586","RD035",2006 abr,33.6
"587","RD035",2006 jul,17.5
"588","RD035",2006 out,23.7
"589","RD035",2007 jan,238
"590","RD035",2007 abr,58.1
"591","RD035",2007 jul,16.9
"592","RD035",2007 out,20
"593","RD035",2008 jan,70
"594","RD035",2008 abr,59.8
"595","RD035",2008 jul,18.5
"596","RD035",2008 out,32.3
"597","RD035",2009 jan,144
"598","RD035",2009 abr,273
"599","RD035",2009 jul,28
"600","RD035",2009 out,72.9
"601","RD035",2010 jan,52
"602","RD035",2010 abr,52.2
"603","RD035",2010 jul,17.5
"604","RD035",2010 out,26.1
"605","RD035",2011 jan,158
"606","RD035",2011 abr,147
"607","RD035",2011 jul,32.4
"608","RD035",2011 out,8.06
"609","RD035",2012 jan,73.8
"610","RD035",2012 abr,72.7
"611","RD035",2012 jul,26.9
"612","RD035",2012 out,11.9
"613","RD035",2013 jan,56.3
"614","RD035",2013 abr,382
"615","RD035",2013 jun,19.9
"616","RD035",2013 jul,15.2
"617","RD035",2013 ago,10.8
"618","RD035",2013 set,12.5
"619","RD035",2013 out,7.14
"620","RD035",2013 nov,37.6
"621","RD035",2013 dez,114
"622","RD035",2014 jan,23.2
"623","RD035",2014 fev,18.4
"624","RD035",2014 mar,48.9
"625","RD035",2014 abr,74.6
"626","RD035",2014 mai,4.98
"627","RD035",2014 jun,4.92
"628","RD035",2014 jul,3.91
"629","RD035",2014 ago,2.56
"630","RD035",2014 set,2.86
