"","Estacao","Data_de_Amostragem","Ano","Turbidez","Data"
"313","RD059",2004-07-26,2004,63.5,2004 jul
"314","RD059",2004-10-25,2004,17,2004 out
"315","RD059",2005-01-24,2005,257,2005 jan
"316","RD059",2005-04-27,2005,104,2005 abr
"317","RD059",2005-07-18,2005,26.9,2005 jul
"318","RD059",2005-10-10,2005,35.4,2005 out
"319","RD059",2006-01-23,2006,20.1,2006 jan
"320","RD059",2006-04-26,2006,17.5,2006 abr
"321","RD059",2006-07-19,2006,11.5,2006 jul
"322","RD059",2006-10-11,2006,9.37,2006 out
"323","RD067",2002-02-28,2002,259,2002 fev
"324","RD067",2002-05-01,2002,39.4,2002 mai
"325","RD067",2002-08-05,2002,14.2,2002 ago
"326","RD067",2002-10-29,2002,33.5,2002 out
"327","RD067",2003-02-20,2003,355,2003 fev
"328","RD067",2003-05-07,2003,22.4,2003 mai
"329","RD067",2003-07-28,2003,9.64,2003 jul
"330","RD067",2003-10-27,2003,302,2003 out
"331","RD067",2004-01-26,2004,540,2004 jan
"332","RD067",2004-05-03,2004,95.4,2004 mai
"333","RD067",2004-07-26,2004,53.1,2004 jul
"334","RD067",2004-10-25,2004,10.7,2004 out
"335","RD067",2005-01-24,2005,211,2005 jan
"336","RD067",2005-04-27,2005,61.6,2005 abr
"337","RD067",2005-07-18,2005,15.8,2005 jul
"338","RD067",2005-10-10,2005,30.7,2005 out
"339","RD067",2006-01-23,2006,19.1,2006 jan
"340","RD067",2006-04-26,2006,22.4,2006 abr
"341","RD067",2006-07-19,2006,6.33,2006 jul
"342","RD067",2006-10-11,2006,13.6,2006 out
"343","RD019",2007-01-24,2007,69.7,2007 jan
"344","RD019",2007-04-11,2007,31.8,2007 abr
"345","RD019",2007-07-11,2007,8.06,2007 jul
"346","RD019",2007-10-03,2007,12.8,2007 out
"347","RD019",2008-01-16,2008,91,2008 jan
"348","RD019",2008-04-02,2008,78.4,2008 abr
"349","RD019",2008-07-01,2008,61.7,2008 jul
"350","RD019",2008-10-01,2008,21,2008 out
"351","RD019",2009-01-14,2009,83,2009 jan
"352","RD019",2009-04-08,2009,286,2009 abr
"353","RD019",2009-07-08,2009,18,2009 jul
"354","RD019",2009-10-01,2009,48,2009 out
"355","RD019",2010-01-20,2010,40.7,2010 jan
"356","RD019",2010-04-14,2010,57.9,2010 abr
"357","RD019",2010-07-07,2010,4.48,2010 jul
"358","RD019",2010-10-06,2010,12,2010 out
"359","RD019",2011-01-19,2011,233,2011 jan
"360","RD019",2011-04-06,2011,94.9,2011 abr
"361","RD019",2011-07-06,2011,8.16,2011 jul
"362","RD019",2011-10-05,2011,9.82,2011 out
"363","RD023",2007-01-26,2007,178,2007 jan
"364","RD023",2007-04-13,2007,43.6,2007 abr
"365","RD023",2007-07-13,2007,19.6,2007 jul
"366","RD023",2007-10-05,2007,14.7,2007 out
"367","RD023",2008-01-18,2008,79.6,2008 jan
"368","RD023",2008-04-04,2008,62.4,2008 abr
"369","RD023",2008-07-07,2008,15.4,2008 jul
"370","RD023",2008-10-03,2008,31,2008 out
"371","RD023",2009-01-16,2009,69.9,2009 jan
"372","RD023",2009-04-10,2009,280,2009 abr
"373","RD023",2009-07-10,2009,25.5,2009 jul
"374","RD023",2009-10-02,2009,45.3,2009 out
"375","RD023",2010-01-22,2010,59,2010 jan
"376","RD023",2010-04-16,2010,49.7,2010 abr
"377","RD023",2010-07-09,2010,15,2010 jul
"378","RD023",2010-10-08,2010,19,2010 out
"379","RD023",2011-01-21,2011,157,2011 jan
"380","RD023",2011-04-08,2011,175,2011 abr
"381","RD023",2011-07-08,2011,21.2,2011 jul
"382","RD023",2011-10-07,2011,6.95,2011 out
"383","RD033",2007-01-29,2007,281,2007 jan
"384","RD033",2007-04-16,2007,50.4,2007 abr
"385","RD033",2007-07-16,2007,19.4,2007 jul
"386","RD033",2007-10-08,2007,16.7,2007 out
"387","RD033",2008-01-21,2008,77,2008 jan
"388","RD033",2008-04-07,2008,145,2008 abr
"389","RD033",2008-07-08,2008,19.4,2008 jul
"390","RD033",2008-10-09,2008,23.5,2008 out
"391","RD033",2009-01-22,2009,318,2009 jan
"392","RD033",2009-04-16,2009,101,2009 abr
"393","RD033",2009-07-16,2009,31.2,2009 jul
"394","RD033",2009-10-08,2009,59.9,2009 out
"395","RD033",2010-01-28,2010,63.5,2010 jan
"396","RD033",2010-04-22,2010,41.6,2010 abr
"397","RD033",2010-07-15,2010,13,2010 jul
"398","RD033",2010-10-14,2010,21.6,2010 out
"399","RD033",2011-01-27,2011,84.8,2011 jan
"400","RD033",2011-04-14,2011,53.8,2011 abr
"401","RD033",2011-07-14,2011,20.6,2011 jul
"402","RD033",2011-10-13,2011,14.6,2011 out
"403","RD035",2007-01-26,2007,238,2007 jan
"404","RD035",2007-04-13,2007,58.1,2007 abr
"405","RD035",2007-07-13,2007,16.9,2007 jul
"406","RD035",2007-10-05,2007,20,2007 out
"407","RD035",2008-01-18,2008,70,2008 jan
"408","RD035",2008-04-04,2008,59.8,2008 abr
"409","RD035",2008-07-07,2008,18.5,2008 jul
"410","RD035",2008-10-03,2008,32.3,2008 out
"411","RD035",2009-01-16,2009,144,2009 jan
"412","RD035",2009-04-10,2009,273,2009 abr
"413","RD035",2009-07-10,2009,28,2009 jul
"414","RD035",2009-10-02,2009,72.9,2009 out
"415","RD035",2010-01-22,2010,52,2010 jan
"416","RD035",2010-04-16,2010,52.2,2010 abr
"417","RD035",2010-07-09,2010,17.5,2010 jul
"418","RD035",2010-10-08,2010,26.1,2010 out
"419","RD035",2011-01-21,2011,158,2011 jan
"420","RD035",2011-04-08,2011,147,2011 abr
"421","RD035",2011-07-08,2011,32.4,2011 jul
"422","RD035",2011-10-07,2011,8.06,2011 out
"423","RD044",2007-01-29,2007,261,2007 jan
"424","RD044",2007-04-16,2007,45.4,2007 abr
"425","RD044",2007-07-16,2007,12.8,2007 jul
"426","RD044",2007-10-08,2007,9.88,2007 out
"427","RD044",2008-01-21,2008,56.1,2008 jan
"428","RD044",2008-04-07,2008,208,2008 abr
"429","RD044",2008-07-08,2008,9.02,2008 jul
"430","RD044",2008-10-09,2008,14.9,2008 out
"431","RD044",2009-01-22,2009,206,2009 jan
"432","RD044",2009-04-16,2009,115,2009 abr
"433","RD044",2009-07-16,2009,12.5,2009 jul
"434","RD044",2009-10-08,2009,28.4,2009 out
"435","RD044",2010-01-28,2010,22.2,2010 jan
"436","RD044",2010-04-22,2010,25.2,2010 abr
"437","RD044",2010-07-15,2010,8.22,2010 jul
"438","RD044",2010-10-14,2010,7.12,2010 out
"439","RD044",2011-01-27,2011,44.2,2011 jan
"440","RD044",2011-04-14,2011,54.6,2011 abr
"441","RD044",2011-07-14,2011,8.94,2011 jul
"442","RD044",2011-10-13,2011,7.92,2011 out
"443","RD045",2007-01-30,2007,594,2007 jan
"444","RD045",2007-04-17,2007,43.4,2007 abr
"445","RD045",2007-07-17,2007,14.2,2007 jul
"446","RD045",2007-10-09,2007,7.78,2007 out
"447","RD045",2008-01-22,2008,73.3,2008 jan
"448","RD045",2008-04-08,2008,234,2008 abr
"449","RD045",2008-07-10,2008,13.8,2008 jul
"450","RD045",2008-10-13,2008,15.3,2008 out
"451","RD045",2009-01-26,2009,319,2009 jan
"452","RD045",2009-04-20,2009,135,2009 abr
"453","RD045",2009-07-16,2009,15.7,2009 jul
"454","RD045",2009-10-08,2009,33.6,2009 out
"455","RD045",2010-01-28,2010,21.5,2010 jan
"456","RD045",2010-04-22,2010,28.6,2010 abr
"457","RD045",2010-07-15,2010,6.27,2010 jul
"458","RD045",2010-10-14,2010,11.6,2010 out
"459","RD045",2011-01-27,2011,52.1,2011 jan
"460","RD045",2011-04-14,2011,58.1,2011 abr
"461","RD045",2011-07-14,2011,11.1,2011 jul
"462","RD045",2011-10-13,2011,7.14,2011 out
"463","RD053",2007-01-30,2007,480,2007 jan
"464","RD053",2007-04-17,2007,51.3,2007 abr
"465","RD053",2007-07-17,2007,13.2,2007 jul
"466","RD053",2007-10-09,2007,9.73,2007 out
"467","RD053",2008-01-22,2008,84,2008 jan
"468","RD053",2008-04-08,2008,280,2008 abr
"469","RD053",2008-07-10,2008,11.5,2008 jul
"470","RD053",2008-10-14,2008,12.1,2008 out
"471","RD053",2009-01-26,2009,398,2009 jan
"472","RD053",2009-04-20,2009,150,2009 abr
"473","RD053",2009-07-20,2009,22.8,2009 jul
"474","RD053",2009-10-12,2009,24.7,2009 out
"475","RD053",2010-02-01,2010,21.5,2010 fev
"476","RD053",2010-04-26,2010,23.9,2010 abr
"477","RD053",2010-07-19,2010,10.3,2010 jul
"478","RD053",2010-10-18,2010,9.01,2010 out
"479","RD053",2011-01-31,2011,50.1,2011 jan
"480","RD053",2011-04-18,2011,51.7,2011 abr
"481","RD053",2011-07-18,2011,11.2,2011 jul
"482","RD053",2011-10-17,2011,20.8,2011 out
"483","RD058",2007-01-30,2007,417,2007 jan
"484","RD058",2007-04-17,2007,58.9,2007 abr
"485","RD058",2007-07-17,2007,17.6,2007 jul
"486","RD058",2007-10-09,2007,9.9,2007 out
"487","RD058",2008-01-22,2008,170,2008 jan
"488","RD058",2008-04-08,2008,379,2008 abr
"489","RD058",2008-07-10,2008,13.5,2008 jul
"490","RD058",2008-10-14,2008,14.3,2008 out
"491","RD058",2009-01-26,2009,379,2009 jan
"492","RD058",2009-04-20,2009,126,2009 abr
"493","RD058",2009-07-20,2009,19.4,2009 jul
"494","RD058",2009-10-12,2009,23.2,2009 out
"495","RD058",2010-02-01,2010,18.2,2010 fev
"496","RD058",2010-04-26,2010,26.7,2010 abr
"497","RD058",2010-07-19,2010,10.4,2010 jul
"498","RD058",2010-10-18,2010,12.2,2010 out
"499","RD058",2011-01-31,2011,51,2011 jan
